
                    Timers with more than 1% of total time. Set of identical timers has 1 processes with up to 4 threads each.
---------------------------------------------------------------------------------------------------------------------------------------------------
 |                                                                   | Count |       Process time       | Thread imbalances  | Workunits         | 
---------------------------------------------------------------------------------------------------------------------------------------------------
 | Id  | Lvl | Grp | Name                                            | Avg   | Avg (s) | Time % | Imb % | No | Avg % | Max % | Avg               | 
---------------------------------------------------------------------------------------------------------------------------------------------------
 | 1   | 1   |     | main                                            | 1     | 4.938   | 97.54  | 0     | 1  |       |       |                   | 
 | 2   | 2   |     |   Initialization                                | 1     | 0.3628  | 7.346  | 0     | 1  |       |       |                   | 
 | 6   | 3   |     |     Init fieldsolver grids                      | 1     | 0.06177 | 17.03  | 0     | 1  |       |       |                   | 
 | 74  | 3   |     |     write-initial-state                         | 1     | 0.2104  | 57.99  | 0     | 1  |       |       |                   | 
 | 76  | 4   |     |       writeGrid-reduced                         | 1     | 0.2103  | 99.98  | 0     | 1  |       |       | 0.003482 GB/s     | 
 | 77  | 5   |     |         open                                    | 1     | 0.2068  | 98.31  | 0     | 1  |       |       |                   | 
 | 221 | 2   |     |   Simulation                                    | 1     | 4.575   | 92.65  | 0     | 1  |       |       |                   | 
 | 222 | 3   |     |     IO                                          | 361   | 2.743   | 59.96  | 0     | 1  |       |       |                   | 
 | 223 | 4   |     |       checkExternalCommands                     | 361   | 0.1263  | 4.604  | 0     | 1  |       |       |                   | 
 | 226 | 4   |     |       write-system                              | 361   | 2.6     | 94.76  | 0     | 1  |       |       |                   | 
 | 228 | 5   |     |         writeGrid-reduced                       | 361   | 2.59    | 99.64  | 0     | 1  |       |       | 0.07861 GB/s      | 
 | 229 | 6   |     |           open                                  | 361   | 0.3941  | 15.21  | 0     | 1  |       |       |                   | 
 | 230 | 6   |     |           metadataIO                            | 361   | 0.5374  | 20.74  | 0     | 1  |       |       |                   | 
 | 231 | 6   |     |           velocityspaceIO                       | 361   | 0.2481  | 9.579  | 0     | 1  |       |       |                   | 
 | 232 | 6   |     |           reduceddataIO                         | 361   | 1.199   | 46.29  | 0     | 1  |       |       |                   | 
 | 233 | 7   |     |             writeDataReducer                    | 361   | 1.196   | 99.76  | 0     | 1  |       |       |                   | 
 | 291 | 8   |     |               DRO_proton/vg_ptensor_diagonal    | 361   | 0.05974 | 4.993  | 0     | 1  |       |       |                   | 
 | 293 | 8   |     |               DRO_proton/vg_ptensor_offdiagonal | 361   | 0.05992 | 5.009  | 0     | 1  |       |       |                   | 
 | 356 | 6   |     |           close                                 | 361   | 0.2101  | 8.111  | 0     | 1  |       |       |                   | 
 | 359 | 3   |     |     Propagate                                   | 360   | 1.826   | 39.92  | 0     | 1  |       |       | 1.365e+07 Cells/s | 
 | 360 | 4   |     |       Spatial-space                             | 360   | 0.09836 | 5.386  | 0     | 1  |       |       | 2.535e+08 Cells/s | 
 | 361 | 5   |     |         semilag-trans                           | 360   | 0.09812 | 99.75  | 0     | 1  |       |       |                   | 
 | 362 | 6   |     |           compute-moments-n                     | 360   | 0.09784 | 99.72  | 0     | 1  |       |       |                   | 
 | 365 | 4   |     |       Velocity-space                            | 360   | 1.727   | 94.54  | 0     | 1  |       |       | 1.444e+07 Cells/s | 
 | 366 | 5   |     |         semilag-acc                             | 360   | 1.632   | 94.53  | 0     | 1  |       |       |                   | 
 | 368 | 6   |     |           cell-semilag-acc                      | 1080  | 1.447   | 88.67  | 0     | 1  |       |       |                   | 
 | 371 | 7   |     |             compute-mapping                     | 1080  | 1.441   | 99.54  | 0     | 1  |       |       |                   | 
 | 372 | 6   | B   |           re-adjust blocks                      | 360   | 0.1441  | 8.828  | 0     | 1  |       |       |                   | 
 | 375 | 7   |     |             Adjusting blocks                    | 360   | 0.1131  | 78.49  | 0     | 1  |       |       |                   | 
 | 378 | 5   |     |         Compute _V moments                      | 360   | 0.09403 | 5.446  | 0     | 1  |       |       |                   | 
 |     | 1   |     | Other                                           | 0     | 0.1245  | 2.459  | 0     | 1  |       |       |                   | 
---------------------------------------------------------------------------------------------------------------------------------------------------
